,,,,,,,,,,,,on ground,,,,,,,,,,,,,,,,,,,,
-16.97040939,24.00012398,0,3,0,35,6,0,0,0,0,0,0,-0.614417195,-2.900000095,0,60,1.00E-04,0,4,0,14,4,0,0,0,0,2,1,0,0,0,12
-22.99782944,1.00E-04,0,3,0,43,6,0,0,0,0,2,1,-0.268834651,0,0,60,1.00E-04,0,4,0,14,17,0,0,0,0,2,1,0,0,0,41
-23.05224609,1.00E-04,0,3,0,43,19,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,30,0,0,0,0,2,1,0,0,0,28
-23.05224609,1.00E-04,0,3,0,178,-1,0,0,1,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,43,0,0,0,0,2,1,0,0,0,27
-23.05224609,1.00E-04,0,3,0,235,13,0,0,2,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,56,0,0,0,0,2,1,0,0,0,40
-23.05224609,1.00E-04,0,3,0,235,26,0,0,2,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,9,0,0,0,0,2,1,0,0,0,6
-23.05224609,1.00E-04,0,3,0,39,7,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,22,0,0,0,0,2,1,0,0,0,2
-29.88524818,23.22009468,0,3,0,25,9,0,0,0,0,1,0,-0.773999989,2.059998989,0,60,1.00E-04,0,4,0,14,35,0,0,0,0,2,1,0,0,0,28
-43.60523987,38.17008209,0,3,0,66,13,0,0,0,0,1,0,-1.110000014,0.369999051,0,60,1.00E-04,0,4,0,14,48,0,0,0,0,2,1,0,0,0,37
-58.15522766,31.15006828,0,3,0,66,26,0,0,0,0,1,0,-1.110000014,-1.320000887,0,60,1.00E-04,0,4,0,14,61,0,0,0,0,2,1,0,0,0,19
-72.70523834,2.270056725,0,3,0,66,39,0,0,0,0,1,0,-1.110000014,-2.900000095,0,60,1.00E-04,0,4,0,14,74,0,0,0,0,2,1,0,0,0,30
-80.85523224,1.00E-04,0,3,0,178,-1,0,0,6,0,2,1,-0.240000427,0,0,60,1.00E-04,0,4,0,14,12,0,0,0,0,2,1,0,0,0,38
-85.56569672,0,0,3,0,233,13,0,0,0,0,2,1,-2.371006012,0,0,60,1.00E-04,0,4,0,14,25,0,0,0,0,2,1,0,0,0,34
-85.56569672,0,0,3,1,233,26,0,0,0,0,2,1,-0.274490356,0,0,60,1.00E-04,0,4,0,14,38,0,0,0,0,2,1,0,0,0,33
-85.63438416,1.00E-04,0,3,1,178,-1,0,0,7,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,51,0,0,0,0,2,1,0,0,0,4
-85.63438416,1.00E-04,0,3,1,180,12,0,0,20,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,4,0,0,0,0,2,1,0,0,0,21
-85.63438416,1.00E-04,0,3,1,235,13,0,0,21,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,17,0,0,0,0,2,1,0,0,0,22
-85.63438416,1.00E-04,0,3,1,235,26,0,0,21,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,30,0,0,0,0,2,1,0,0,0,11
-85.63438416,1.00E-04,0,3,1,18,7,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,43,0,0,0,0,2,1,0,0,0,40
-85.63438416,1.00E-04,0,3,0,180,0,0,0,12,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,56,0,0,0,0,2,1,0,0,0,25
